,diferencia,T,xT
0,15.17105455253297,1,15.17105455253297
1,15.17105455253297,1,15.17105455253297
2,15.17105455253297,1,15.17105455253297
3,15.17105455253297,1,15.17105455253297
4,15.17105455253297,1,15.17105455253297
5,15.17105455253297,1,15.17105455253297
6,15.17105455253297,1,15.17105455253297
7,15.17105455253297,1,15.17105455253297
8,15.17105455253297,1,15.17105455253297
9,15.17105455253297,1,15.17105455253297
10,15.17105455253297,1,15.17105455253297
11,15.17105455253297,1,15.17105455253297
12,15.17105455253297,1,15.17105455253297
13,15.17105455253297,1,15.17105455253297
14,15.17105455253297,1,15.17105455253297
15,15.17105455253297,1,15.17105455253297
16,15.17105455253297,1,15.17105455253297
17,15.17105455253297,1,15.17105455253297
18,15.17105455253297,1,15.17105455253297
19,15.17105455253297,1,15.17105455253297
20,15.17105455253297,1,15.17105455253297
21,15.17105455253297,1,15.17105455253297
22,15.17105455253297,1,15.17105455253297
23,15.17105455253297,1,15.17105455253297
24,15.17105455253297,1,15.17105455253297
25,15.17105455253297,1,15.17105455253297
26,15.17105455253297,1,15.17105455253297
27,15.17105455253297,1,15.17105455253297
28,15.17105455253297,1,15.17105455253297
29,49.47893434978306,1,49.47893434978306
30,57.78616218514189,1,57.78616218514189
31,5.6111645813282,1,5.6111645813282
32,55.544124371284866,1,55.544124371284866
33,81.38197289631263,1,81.38197289631263
34,-50.86151882578175,0,-0.0
35,13.529073114565342,1,13.529073114565342
36,41.3838230327592,1,41.3838230327592
37,14.806212803019307,1,14.806212803019307
38,69.36113491383415,1,69.36113491383415
39,66.60640920295809,1,66.60640920295809
40,13.662630709961476,1,13.662630709961476
41,10.799319727891156,1,10.799319727891156
42,60.80340839926963,1,60.80340839926963
43,77.37293325168402,1,77.37293325168402
44,56.70062886949739,1,56.70062886949739
45,38.26037521318931,1,38.26037521318931
46,5.2575271282286415,1,5.2575271282286415
47,30.557151062607694,1,30.557151062607694
48,68.54848906309267,1,68.54848906309267
49,45.553422904670505,1,45.553422904670505
50,77.80460325124739,1,77.80460325124739
51,50.4377719288822,1,50.4377719288822
52,-37.59743726641751,0,-0.0
53,69.37437706049222,1,69.37437706049222
54,51.97940658447365,1,51.97940658447365
55,36.70544928679419,1,36.70544928679419
56,50.103510143994114,1,50.103510143994114
57,65.23914104441191,1,65.23914104441191
58,60.8030112923463,1,60.8030112923463
59,72.43331332018184,1,72.43331332018184
60,-65.15837104072398,0,-0.0
61,-19.975031210986266,0,-0.0
62,41.62404889609579,1,41.62404889609579
63,47.6326433499881,1,47.6326433499881
64,62.44888140485927,1,62.44888140485927
65,-7.22723371399223,0,-0.0
66,69.02322897128842,1,69.02322897128842
67,46.01035735449463,1,46.01035735449463
68,48.697257744648844,1,48.697257744648844
69,23.12200873968232,1,23.12200873968232
70,49.45177664974619,1,49.45177664974619
71,-46.89934092270821,0,-0.0
72,-66.79240969364426,0,-0.0
73,16.7827782759464,1,16.7827782759464
74,-3.4983558640847643,0,-0.0
75,76.21592317224287,1,76.21592317224287
76,69.50950950950951,1,69.50950950950951
